group,state,ko,catalog_seed,tier,safety,notes,metadata_move_name,metadata_filename,duration_frames,package,category,take_name,actor,actual_bvh_path,actual_bvh_exists,metadata_g1_path,metadata_g1_exists,actual_bvh_stem,alias_from_catalog_seed,short_description,natural_description
A,MimicIdleBase,기본 자세,dance_basic_first_entry_position_R_002__A309,1,safe,slot 1,dance_basic_first_entry_position_R_002__A309,dance_basic_first_entry_position_R_002__A309,188,Dances,Dancing,dance_basic_first_entry_position_R_002,A309,seed/soma_uniform/bvh/230411/dance_basic_first_entry_position_R_002__A309.bvh,true,seed/g1/csv/230411/dance_basic_first_entry_position_R_002__A309.csv,false,dance_basic_first_entry_position_R_002__A309,false,natural dance position,A person stands in a natural position while placing both feet close together.
A,MimicCrossedArms,팔짱,crossed_arms_idle_right_to_idle_R_001__A456,1,safe,,crossed_arms_idle_right_to_idle_R_001__A456,crossed_arms_idle_right_to_idle_R_001__A456,795,Locomotion,Basic Locomotion Neutral,crossed_arms_idle_right_to_idle_R_001,A456,seed/soma_uniform/bvh/231004/crossed_arms_idle_right_to_idle_R_001__A456.bvh,true,seed/g1/csv/231004/crossed_arms_idle_right_to_idle_R_001__A456.csv,false,crossed_arms_idle_right_to_idle_R_001__A456,false,from standing with arms crossed to standing,A person standing relaxed shifts to stand straight with arms crossed.
A,MimicCrossedArmsTurn,팔짱 턴,crossed_arms_idle_turn_270_R_001__A456,3,caution,,crossed_arms_idle_turn_270_R_001__A456,crossed_arms_idle_turn_270_R_001__A456,760,Locomotion,Basic Locomotion Neutral,crossed_arms_idle_turn_270_R_001,A456,seed/soma_uniform/bvh/231004/crossed_arms_idle_turn_270_R_001__A456.bvh,true,seed/g1/csv/231004/crossed_arms_idle_turn_270_R_001__A456.csv,false,crossed_arms_idle_turn_270_R_001__A456,false,arms crossed turn right,A person with crossed arms turns to the right.
A,MimicHandsOnBack,뒷짐,idle_hands_on_back_loop_R_001__A029,1,safe,,idle_hands_on_back_loop_R_001__A029,idle_hands_on_back_loop_001__A029,2215,Locomotion,Basic Locomotion Neutral,idle_hands_on_back_loop_R_001,A029,seed/soma_uniform/bvh/220720/idle_hands_on_back_loop_001__A029.bvh,true,seed/g1/csv/220720/idle_hands_on_back_loop_001__A029.csv,false,idle_hands_on_back_loop_001__A029,true,standing with hands on back position,A person standing upright with their hands at their back.
A,MimicListening,듣는 자세,listening_R_001__A116,1,safe,first_cohort,listening_R_001__A116,listening_R_001__A116,443,Communication,Gestures,listening_R_001,A116,seed/soma_uniform/bvh/230112/listening_R_001__A116.bvh,true,seed/g1/csv/230112/listening_R_001__A116.csv,false,listening_R_001__A116,false,listening,A person leans slightly sideways and puts their hand to their ear before standing upright again.
A,MimicCheckingTime,시간 확인,checking_time_R_002__A187,1,safe,,checking_time_R_002__A187,checking_time_R_002__A187,326,Communication,Gestures,checking_time_R_002,A187,seed/soma_uniform/bvh/230213/checking_time_R_002__A187.bvh,true,seed/g1/csv/230213/checking_time_R_002__A187.csv,false,checking_time_R_002__A187,false,checking time,A person lifts their left arm and looks at their wrist to check the time.
A,MimicFanning,부채질,fanning_yourself_R_001__A500,2,safe,,fanning_yourself_R_001__A500,fanning_yourself_R_001__A500,2380,Interactions,Object Manipulation,fanning_yourself_R_001,A500,seed/soma_uniform/bvh/231110/fanning_yourself_R_001__A500.bvh,true,seed/g1/csv/231110/fanning_yourself_R_001__A500.csv,false,fanning_yourself_R_001__A500,false,fans themselves using a hand fan,A person is swiftly fanning themselves with a hand fan using their right hand while standing.
A,MimicLookBack,뒤돌아보기,look_000_R_001__A428,2,caution,,look_000_R_001__A428,look_000_R_001__A428,799,Gaming,Object Interaction,look_000_R_001,A428,seed/soma_uniform/bvh/230713/look_000_R_001__A428.bvh,true,seed/g1/csv/230713/look_000_R_001__A428.csv,false,look_000_R_001__A428,false,looking back over left shoulder,A person looks back over their left shoulder by turning their upper torso and then returns to a relaxed upright position.
A,MimicLookAround,두리번거리기,look_around_eyes_cover_one_hand_R_001__A500,1,safe,,look_around_eyes_cover_one_hand_R_001__A500,look_around_eyes_cover_one_hand_R_001__A500,1813,Gaming,Object Interaction,look_around_eyes_cover_one_hand_R_001,A500,seed/soma_uniform/bvh/231110/look_around_eyes_cover_one_hand_R_001__A500.bvh,true,seed/g1/csv/231110/look_around_eyes_cover_one_hand_R_001__A500.csv,false,look_around_eyes_cover_one_hand_R_001__A500,false,"looks around, covering their eyes using right hand","A person standing still raises their right hand to cover the eyes, looks right and left to the sides, and then lowers the hand and stands still."
A,MimicStretch,기지개,body_stretch_opt_1_001__A029,2,caution,,body_stretch_opt_1_001__A029,body_stretch_1_001__A029,2033,Sport,Sports,body_stretch_opt_1_001,A029,seed/soma_uniform/bvh/220720/body_stretch_1_001__A029.bvh,true,seed/g1/csv/220720/body_stretch_1_001__A029.csv,false,body_stretch_1_001__A029,true,body stretch on straight feet wide stand and move right hand on left side over head,A person stretches their right arm over their head and bends to the left while facing forward in a wide stance.
B,MimicCasualGreeting,캐주얼 인사,casual_greeting_R_001__A428,1,safe,first_cohort,casual_greeting_R_001__A428,casual_greeting_R_001__A428,490,Communication,Communication,casual_greeting_R_001,A428,seed/soma_uniform/bvh/230713/casual_greeting_R_001__A428.bvh,true,seed/g1/csv/230713/casual_greeting_R_001__A428.csv,false,casual_greeting_R_001__A428,false,casually greeting someone,A person is casually greeting someone by gesturing with their hand.
B,MimicWelcoming,어서오세요,welcoming_001__A142,1,safe,slot 5/6; first_cohort,welcoming_001__A142,welcoming_001__A142,693,Communication,Gestures,welcoming_001,A142,seed/soma_uniform/bvh/230124/welcoming_001__A142.bvh,true,seed/g1/csv/230124/welcoming_001__A142.csv,false,welcoming_001__A142,false,welcoming,A person is welcoming with open arms.
B,MimicBowPolite,정중한 인사,bow_R_001__A429,1,safe,first_cohort,bow_R_001__A429,bow_R_001__A429,693,Communication,Gestures,bow_R_001,A429,seed/soma_uniform/bvh/230713/bow_R_001__A429.bvh,true,seed/g1/csv/230713/bow_R_001__A429.csv,false,bow_R_001__A429,false,bowing,"A person standing idly hunches and gently brings their right hand in front of their stomach to give a bow, and then continues to stand idle again."
B,MimicBowCourtly,궁정식 인사,courtly_bow_female_R_001__A429,3,safe,,courtly_bow_female_R_001__A429,courtly_bow_female_R_001__A429,901,Communication,Gestures,courtly_bow_female_R_001,A429,seed/soma_uniform/bvh/230713/courtly_bow_female_R_001__A429.bvh,true,seed/g1/csv/230713/courtly_bow_female_R_001__A429.csv,false,courtly_bow_female_R_001__A429,false,female making a courtly bow,"A woman, standing poised, makes a dignified, courtly bow by elegantly opening her arms to the sides and then calmly stands idle."
B,MimicBowKnightly,기사식 인사,knightly_bow_R_001__A429,3,safe,,knightly_bow_R_001__A429,knightly_bow_R_001__A429,539,Communication,Gestures,knightly_bow_R_001,A429,seed/soma_uniform/bvh/230713/knightly_bow_R_001__A429.bvh,true,seed/g1/csv/230713/knightly_bow_R_001__A429.csv,false,knightly_bow_R_001__A429,false,perform a knightly bow to the right,A person gently performs a knightly bow with their right arm and then stands upright.
B,MimicByeBye,배웅 인사,bye_bye_salute_R_002__A474,1,safe,slot 7; first_cohort,bye_bye_salute_R_002__A474,bye_bye_salute_R_002__A474,370,Communication,Gestures,bye_bye_salute_R_002,A474,seed/soma_uniform/bvh/231010/bye_bye_salute_R_002__A474.bvh,true,seed/g1/csv/231010/bye_bye_salute_R_002__A474.csv,false,bye_bye_salute_R_002__A474,false,bye bye salute,A person sways forward and lifts their right hand in a salute.
B,MimicComeHere,이리 오세요,come_here_R_002__A456,1,safe,first_cohort,come_here_R_002__A456,come_here_R_002__A456,480,Communication,Gestures,come_here_R_002,A456,seed/soma_uniform/bvh/231004/come_here_R_002__A456.bvh,true,seed/g1/csv/231004/come_here_R_002__A456.csv,false,come_here_R_002__A456,false,come here gesture,"A person raises their arms to their sides, then moves them slightly inward before lowering them down."
B,MimicBeckon,오라이,beckon_R_001__A428,2,safe,,beckon_R_001__A428,beckon_R_001__A428,494,Communication,Gestures,beckon_R_001,A428,seed/soma_uniform/bvh/230713/beckon_R_001__A428.bvh,true,seed/g1/csv/230713/beckon_R_001__A428.csv,false,beckon_R_001__A428,false,beckon at someone with your right hand,"A person takes a step forward and beckons at someone with their right arm, then stands idle."
